vial_id,polar_1,polar_2,polar_3,sticky_1,sticky_2,sticky_3
Q01,0.408767428,0.222119281,0.199152316,0.250137930,0.108889218,0.025000000
Q02,0.390590604,0.302185642,0.191009646,0.181281007,0.207045537,0.167649268
Q03,0.417724660,0.345466734,0.206833517,0.300721460,0.146307590,0.144483354
Q04,0.410285216,0.368996037,0.165768407,0.310299572,0.025000000,0.044807073
Q05,0.546324609,0.233292965,0.309994982,0.241998824,0.059301950,0.025000000
Q06,0.452856451,0.318341938,0.284549738,0.123853366,0.151100253,0.029002071
Q07,0.416976892,0.200490944,0.216976267,0.146673504,0.082251199,0.043720412
Q08,0.414813155,0.364421092,0.277328793,0.106082352,0.033874762,0.083718294
Q09,0.525403760,0.309418295,0.304077410,0.145057983,0.147877084,0.025000000
Q10,0.436788486,0.246114405,0.268635927,0.099319150,0.138279431,0.101546814
