acquisition_index,polar_1,polar_2,polar_3,sticky_1,sticky_2,sticky_3
1,0.413600611,0.365942709,0.273709102,0.108293220,0.031591252,0.084329539
2,0.536805146,0.436710804,0.289400297,0.204532997,0.217308514,0.186630370
3,0.580372278,0.358573206,0.337221243,0.144503694,0.192364330,0.139468769
4,0.569551498,0.455120240,0.265187631,0.334228422,0.056362838,0.069713579
5,0.566799611,0.354960006,0.256903351,0.321672253,0.107488561,0.032454142
6,0.560245280,0.278312917,0.289630792,0.204678777,0.104851324,0.055866745
7,0.413445697,0.347334019,0.205849843,0.304260044,0.151252555,0.142878998
8,0.674402213,0.431033803,0.373189161,0.220106244,0.181485462,0.059574254
9,0.734260372,0.341931747,0.418224289,0.278169646,0.089916861,0.029897607
10,0.649238047,0.401257419,0.395480548,0.182814702,0.163531215,0.034837999
