session,compound,known_mmol_L,peak_area
S1,A,0.2,20000.000
S1,A,0.55,55000.000
S1,A,1.0,100000.000
S1,B,0.2,15400.000
S1,B,0.55,42350.000
S1,B,1.0,77000.000
S1,C,0.2,24400.000
S1,C,0.55,67100.000
S1,C,1.0,122000.000
S1,D,0.2,18200.000
S1,D,0.55,50050.000
S1,D,1.0,91000.000
S2,A,0.2,21600.000
S2,A,0.55,59400.000
S2,A,1.0,108000.000
S2,B,0.2,14400.000
S2,B,0.55,39600.000
S2,B,1.0,72000.000
S2,C,0.2,25800.000
S2,C,0.55,70950.000
S2,C,1.0,129000.000
S2,D,0.2,17200.000
S2,D,0.55,47300.000
S2,D,1.0,86000.000
S3,A,0.2,18800.000
S3,A,0.55,51700.000
S3,A,1.0,94000.000
S3,B,0.2,16600.000
S3,B,0.55,45650.000
S3,B,1.0,83000.000
S3,C,0.2,23000.000
S3,C,0.55,63250.000
S3,C,1.0,115000.000
S3,D,0.2,19400.000
S3,D,0.55,53350.000
S3,D,1.0,97000.000
