run_id,time_min,isotopologue,peak_area
R01,0,A0,75000.000
R01,0,A1,25000.000
R01,0,B0,0.000
R01,0,B1,0.000
R01,0,C0,0.000
R01,0,C1,0.000
R01,0,D0,0.000
R01,0,D1,0.000
R01,3,A0,67342.742
R01,3,A1,22437.949
R01,3,B0,3743.286
R01,3,B1,1246.769
R01,3,C0,3267.437
R01,3,C1,1074.323
R01,3,D0,35.088
R01,3,D1,101.095
R01,7,A0,58396.959
R01,7,A1,19462.463
R01,7,B0,7958.322
R01,7,B1,2515.219
R01,7,C0,6943.577
R01,7,C1,2335.945
R01,7,D0,639.210
R01,7,D1,167.550
R01,12,A0,48892.627
R01,12,A1,16236.872
R01,12,B0,12291.568
R01,12,B1,3754.146
R01,12,C0,10724.961
R01,12,C1,3505.060
R01,12,D0,1670.200
R01,12,D1,552.966
R01,20,A0,36682.196
R01,20,A1,12232.724
R01,20,B0,17238.819
R01,20,B1,5147.579
R01,20,C0,14826.060
R01,20,C1,4886.576
R01,20,D0,4015.537
R01,20,D1,1331.885
R01,32,A0,23890.756
R01,32,A1,7984.009
R01,32,B0,21525.612
R01,32,B1,5890.789
R01,32,C0,18065.220
R01,32,C1,5911.567
R01,32,D0,8746.369
R01,32,D1,2736.709
R01,48,A0,13522.873
R01,48,A1,4462.011
R01,48,B0,23477.308
R01,48,B1,5889.666
R01,48,C0,19088.297
R01,48,C1,6394.163
R01,48,D0,16025.654
R01,48,D1,4846.281
R01,70,A0,6143.380
R01,70,A1,1979.833
R01,70,B0,22419.273
R01,70,B1,4794.951
R01,70,C0,17707.220
R01,70,C1,5900.054
R01,70,D0,26115.190
R01,70,D1,7582.139
R09,0,A0,81000.000
R09,0,A1,27000.000
R09,0,B0,0.000
R09,0,B1,0.000
R09,0,C0,0.000
R09,0,C1,0.000
R09,0,D0,0.000
R09,0,D1,0.000
R09,3,A0,69415.160
R09,3,A1,23144.397
R09,3,B0,4868.104
R09,3,B1,1630.927
R09,3,C0,4862.070
R09,3,C1,1668.681
R09,3,D0,226.472
R09,3,D1,93.359
R09,7,A0,56527.647
R09,7,A1,18887.249
R09,7,B0,9919.916
R09,7,B1,3276.435
R09,7,C0,9897.409
R09,7,C1,3293.182
R09,7,D0,1146.102
R09,7,D1,346.626
R09,12,A0,43703.064
R09,12,A1,14613.768
R09,12,B0,14467.804
R09,12,B1,4762.093
R09,12,C0,14320.658
R09,12,C1,4734.670
R09,12,D0,2917.095
R09,12,D1,876.061
R09,20,A0,28995.615
R09,20,A1,9600.216
R09,20,B0,18824.815
R09,20,B1,6020.489
R09,20,C0,18462.571
R09,20,C1,6180.175
R09,20,D0,6965.845
R09,20,D1,2154.815
R09,32,A0,15554.588
R09,32,A1,5175.131
R09,32,B0,21026.622
R09,32,B1,6357.186
R09,32,C0,20310.425
R09,32,C1,6742.941
R09,32,D0,14136.546
R09,32,D1,4530.702
R09,48,A0,6814.423
R09,48,A1,2312.176
R09,48,B0,19986.519
R09,48,B1,5812.405
R09,48,C0,18801.448
R09,48,C1,6267.237
R09,48,D0,23711.316
R09,48,D1,7532.813
R09,70,A0,2235.638
R09,70,A1,720.424
R09,70,B0,15971.098
R09,70,B1,4429.446
R09,70,C0,14569.234
R09,70,C1,4885.401
R09,70,D0,35324.490
R09,70,D1,11050.428
R03,0,A0,70500.000
R03,0,A1,23500.000
R03,0,B0,0.000
R03,0,B1,0.000
R03,0,C0,0.000
R03,0,C1,0.000
R03,0,D0,0.000
R03,0,D1,0.000
R03,3,A0,64295.803
R03,3,A1,21458.516
R03,3,B0,3436.397
R03,3,B1,1190.975
R03,3,C0,2719.982
R03,3,C1,879.536
R03,3,D0,128.624
R03,3,D1,14.482
R03,7,A0,56869.877
R03,7,A1,18855.433
R03,7,B0,7243.634
R03,7,B1,2432.816
R03,7,C0,6105.527
R03,7,C1,1998.741
R03,7,D0,437.757
R03,7,D1,144.345
R03,12,A0,48693.280
R03,12,A1,16192.395
R03,12,B0,11223.172
R03,12,B1,3885.359
R03,12,C0,9525.574
R03,12,C1,3113.177
R03,12,D0,1232.246
R03,12,D1,442.699
R03,20,A0,38119.225
R03,20,A1,12715.372
R03,20,B0,16037.614
R03,20,B1,5564.782
R03,20,C0,13466.635
R03,20,C1,4541.511
R03,20,D0,3181.348
R03,20,D1,1147.325
R03,32,A0,26278.971
R03,32,A1,8740.451
R03,32,B0,20323.220
R03,32,B1,7160.071
R03,32,C0,17035.353
R03,32,C1,5739.209
R03,32,D0,7074.536
R03,32,D1,2426.272
R03,48,A0,16045.929
R03,48,A1,5282.453
R03,48,B0,22640.527
R03,48,B1,8132.800
R03,48,C0,18839.185
R03,48,C1,6287.781
R03,48,D0,13200.394
R03,48,D1,4518.018
R03,70,A0,8049.165
R03,70,A1,2693.991
R03,70,B0,22381.691
R03,70,B1,8316.698
R03,70,C0,18358.660
R03,70,C1,6095.909
R03,70,D0,21839.076
R03,70,D1,7564.270
R11,0,A0,75000.000
R11,0,A1,25000.000
R11,0,B0,0.000
R11,0,B1,0.000
R11,0,C0,0.000
R11,0,C1,0.000
R11,0,D0,0.000
R11,0,D1,0.000
R11,3,A0,59583.212
