candidate_id,temperature_K,catalyst_mmol_L,initial_A_label_fraction,solvent_label_fraction,initial_A_mmol_L
E01,318.15,0.5,0.25,0.15,1.0
E02,318.15,0.5,0.25,0.75,1.0
E03,318.15,1.0,0.25,0.15,1.0
E04,318.15,1.0,0.25,0.75,1.0
E05,318.15,1.4,0.25,0.15,1.0
E06,318.15,1.4,0.25,0.75,1.0
E07,328.15,0.5,0.25,0.15,1.0
E08,328.15,0.5,0.25,0.75,1.0
E09,328.15,1.0,0.25,0.15,1.0
E10,328.15,1.0,0.25,0.75,1.0
E11,328.15,1.4,0.25,0.15,1.0
E12,328.15,1.4,0.25,0.75,1.0
E13,338.15,0.5,0.25,0.15,1.0
E14,338.15,0.5,0.25,0.75,1.0
E15,338.15,1.0,0.25,0.15,1.0
E16,338.15,1.0,0.25,0.75,1.0
E17,338.15,1.4,0.25,0.15,1.0
E18,338.15,1.4,0.25,0.75,1.0
E19,348.15,0.5,0.25,0.15,1.0
E20,348.15,0.5,0.25,0.75,1.0
E21,348.15,1.0,0.25,0.15,1.0
E22,348.15,1.0,0.25,0.75,1.0
E23,348.15,1.4,0.25,0.15,1.0
E24,348.15,1.4,0.25,0.75,1.0
