run_id,session,temperature_K,catalyst_mmol_L,initial_A_label_fraction,solvent_label_fraction,initial_A_mmol_L,role
R01,S1,318.15,0.8,0.25,0.05,1.0,training
R02,S2,318.15,1.15,0.25,0.18,1.0,training
R03,S3,323.15,0.65,0.25,0.32,1.0,training
R04,S1,323.15,1.3,0.25,0.47,1.0,training
R05,S2,328.15,0.75,0.25,0.62,1.0,training
R06,S3,328.15,1.2,0.25,0.78,1.0,training
R07,S1,333.15,0.6,0.25,0.12,1.0,training
R08,S2,333.15,1.05,0.25,0.27,1.0,training
R09,S3,338.15,0.7,0.25,0.43,1.0,training
R10,S1,338.15,1.25,0.25,0.58,1.0,training
R11,S2,343.15,0.55,0.25,0.73,1.0,training
R12,S3,343.15,0.95,0.25,0.88,1.0,training
H01,S2,323.15,0.95,0.18,0.62,0.92,prediction
H02,S3,333.15,0.72,0.3,0.08,1.08,prediction
H03,S1,343.15,0.52,0.47,0.81,1.04,prediction
